size,stencil,latency(ms),energy(pJ)
64,3D-Star-7P,0.018,125860577.280
64,3D-Star-13P,0.033,207445032.960
64,3D-Diamond-13P,0.033,207445032.960
64,3D-Box-27P,0.066,397808762.880
96,3D-Star-7P,0.060,424779448.320
96,3D-Star-13P,0.112,700126986.240
96,3D-Diamond-13P,0.112,700126986.240
96,3D-Box-27P,0.223,1342604574.720
128,3D-Star-7P,0.143,1006884618.240
128,3D-Star-13P,0.266,1659560263.680
128,3D-Diamond-13P,0.266,1659560263.680
128,3D-Box-27P,0.529,3182470103.040
256,2D-Star-5P,0.003,24666439.680
256,2D-Star-9P,0.006,38263848.960
256,2D-Diamond-7P,0.004,31465144.320
256,2D-Box-9P,0.006,38263848.960
512,2D-Star-5P,0.013,98665758.720
512,2D-Star-9P,0.023,153055395.840
512,2D-Diamond-7P,0.018,125860577.280
512,2D-Box-9P,0.023,153055395.840
768,2D-Star-5P,0.029,221997957.120
768,2D-Star-9P,0.052,344374640.640
768,2D-Diamond-7P,0.040,283186298.880
768,2D-Box-9P,0.052,344374640.640
1024,2D-Star-5P,0.051,394663034.880
1024,2D-Star-9P,0.092,612221583.360
1024,2D-Diamond-7P,0.072,503442309.120
1024,2D-Box-9P,0.092,612221583.360
